序號,醫療機構代碼,機構名稱,縣市別,評定等級,備註,效期,機構電話,機構地址
1,1101010021,基督復臨安息日會醫療財團法人臺安醫院,臺北市,中度級急救責任醫院,,114/01/01-117/12/31,02-27718151,臺北市松山區八德路二段424、426號
2,1231050017,天主教耕莘醫療財團法人耕莘醫院,新北市,重度級急救責任醫院,,108/01/01-114/12/31,02-22193391,新北市新店區中正路362號
3,132010014,衛生福利部桃園醫院,桃園市,重度級急救責任醫院,,113/01/01-116/12/31,03-3699721,桃園市桃園區中山路1492號
4,1333050017,中國醫藥大學新竹附設醫院,新竹縣,中度級急救責任醫院,具備急診、急性腦中風、急性冠心症、緊急外傷重度級能力,113/01/01-116/12/31,03-5580558,新竹縣竹北市興隆路一段199號
5,1517061032,澄清綜合醫院中港分院,臺中市,重度級急救責任醫院,,106/01/01-114/12/31,04-24632000,臺中市西屯區臺灣大道4段966號
6,937010019,秀傳醫療社團法人秀傳紀念醫院,彰化縣,重度級急救責任醫院,,114/01/01-117/12/31,04-7256166,彰化縣彰化市南瑤里中山路ㄧ段542號
7,1138010019,彰化基督教醫療財團法人南投基督教醫院,南投縣,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,113/01/01-116/12/31,049-2225595,南投縣南投市中興路870號
8,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,嘉義縣,重度級急救責任醫院,,104/12/08-114/12/31,05-3621000,嘉義縣朴子市仁和里嘉朴路西段6號、8號
9,1305370013,臺南市立安南醫院-委託中國醫藥大學興建經營,臺南市,中度級急救責任醫院,具備急診、急性腦中風、急性冠心症、高危險妊娠及新生兒醫療、加護病房重度級能力,113/01/01-116/12/31,06-3553111,臺南市安南區長和路二段66號
10,143010011,衛生福利部屏東醫院,屏東縣,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,109/01/01-115/12/31,08-7363011,屏東縣屏東市自由路270號
11,545040515,國軍花蓮總醫院附設民眾診療服務處,花蓮縣,中度級急救責任醫院,,113/01/01-116/12/31,03-8263151,花蓮縣新城鄉嘉里路163號
12,638020014,臺中榮民總醫院埔里分院,南投縣,中度級急救責任醫院,（不含高危險妊娠及新生兒醫療）及具備急性腦中風重度級能力,113/01/01-116/12/31,049-2990833,南投縣埔里鎮蜈蚣里榮光路1號
13,439010518,國立臺灣大學醫學院附設醫院雲林分院,雲林縣,重度級急救責任醫院,,114/01/01-117/12/31,05-5323911,雲林縣斗六市雲林路二段579號
14,1139030015,天主教若瑟醫療財團法人若瑟醫院,雲林縣,中度級急救責任醫院,,109/01/01-115/12/31,05-6337333,雲林縣虎尾鎮新生路74號
15,439010527,國立成功大學醫學院附設醫院斗六分院,雲林縣,一般級急救責任醫院,具備急診、加護病房中度級能力,114/01/01-117/12/31,05-533-2121,雲林縣斗六市莊敬路345號
16,1139040011,彰化基督教醫療財團法人雲林基督教醫院,雲林縣,中度級急救責任醫院,（不含高危險妊娠孕產婦及新生兒（含早產兒））,108/01/01-114/12/31,05-5871111,雲林縣西螺鎮新豐里市場南路371、375號
17,1339060017,中國醫藥大學北港附設醫院,雲林縣,中度級急救責任醫院,（不含高危險妊娠及新生兒醫療）,109/01/01-115/12/31,05-7837901,雲林縣北港鎮新德路123號
18,1139130010,長庚醫療財團法人雲林長庚紀念醫院,雲林縣,一般級急救責任醫院,具備急診、加護病房中度級能力,114/01/01-117/12/31,05-6915151,雲林縣麥寮鄉中興村工業路1500號
19,1122010012,戴德森醫療財團法人嘉義基督教醫院,嘉義市,重度級急救責任醫院,,114/01/01-117/12/31,05-2765041,嘉義市東區中庄里忠孝路539號
20,1122010021,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,嘉義市,中度級急救責任醫院,具備急性腦中風重度級能力,104/01/20-114/12/31,05-2756000,嘉義市東區短竹里大雅路二段565號
21,101090517,臺北市立聯合醫院陽明院區	,臺北市, 中度級急救責任醫院,（不含高危險妊娠及新生兒醫療）,, 02-27861288	, 臺北市士林區雨聲街105號
22,101090517, 臺北市立聯合醫院和平婦幼院區	, 臺北市	, 中度級急救責任醫院	,（不含高危險妊娠及新生兒醫療）, 109/01/01-115/12/31	, 02-27861288	, 臺北市中正區中華路2段33號
23,1543010109,國仁醫院,屏東縣,一般級急救責任醫院,具備加護病房中度級能力,114/01/01-117/12/31,08-7223000,屏東縣屏東市民生東路12-2號
24,146010013,衛生福利部臺東醫院,臺東縣,一般級急救責任醫院,具備加護病房中度級能力,114/01/01-117/12/31,089-324112,臺東縣臺東市五權街1號
25,943020013,安泰醫療社團法人潮州安泰醫院,屏東縣,一般級急救責任醫院,具備急診、加護病房中度級能力,113/01/01-116/12/31,08-7800888,屏東縣潮州鎮三星里四維路162號
26,1522011115,陽明醫院,嘉義市,一般級急救責任醫院,具備急診、急性冠心症、加護病房中度級能力,113/01/01-116/12/31,05-2284567,嘉義市東區吳鳳北路252號
27,433050018,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院竹東院區,新竹縣,一般級急救責任醫院,具備急診、急性冠心症、加護病房中度級能力,114/01/01-117/12/31,03-5943248,新竹縣竹東鎮至善路52號
28,937050014,員榮醫療社團法人員榮醫院,彰化縣,一般級急救責任醫院,具備急診、急性冠心症、緊急外傷、加護病房中度級能力,114/01/01-117/12/31,04-8326161,彰化縣員林市中正路201號
29,143040019,衛生福利部恆春旅遊醫院,屏東縣,一般級急救責任醫院,具備急診、急性冠心症、加護病房中度級能力,113/01/01-116/12/31,08-8892705,屏東縣恆春鎮山腳里恆南路188號
30,1133060019,天主教仁慈醫療財團法人仁慈醫院,新竹縣,一般級急救責任醫院,具備急診、急性腦中風、急性冠心症、加護病房中度級能力,109/01/01-114/12/31,03-5993500,新竹縣湖口鄉忠孝路29號
31,1146010032,東基醫療財團法人台東基督教醫院,臺東縣,一般級急救責任醫院,具備急診、急性腦中風、急性冠心症、高危險妊娠及新生兒醫療、加護病房中度級能力,113/01/01-116/12/31,089-960888,臺東縣臺東市開封街350號
32,645030011,臺北榮民總醫院玉里分院,花蓮縣,一般級急救責任醫院,具備急診、急性腦中風、高危險妊娠及新生兒醫療、加護病房中度級能力,114/01/01-117/12/31,03-8883141,花蓮縣玉里鎮新興街91號
33,1143040010,恆基醫療財團法人恆春基督教醫院,屏東縣,一般級急救責任醫院,具備急診、高危險妊娠及新生兒醫療中度級能力,109/01/01-116/12/31,08-8892293,屏東縣恆春鎮山腳里恆西路21號
34,641310018,高雄榮民總醫院臺南分院,臺南市,一般級急救責任醫院,具備急診、緊急外傷、加護病房中度級能力,113/01/01-116/12/31,06-3125101,臺南市永康區復興路427號
35,633030010,臺北榮民總醫院新竹分院,新竹縣,一般級急救責任醫院,具備急診、緊急外傷、加護病房中度級能力,113/01/01-116/12/31,03-5962134,新竹縣竹東鎮中豐路一段81號
36,943040015,南門醫療社團法人南門醫院,屏東縣,一般級急救責任醫院,具備急診、緊急外傷中度級能力,109/01/01-116/12/31,08-8894568,屏東縣恆春鎮南門路10號
37,141060513,衛生福利部臺南醫院新化分院,臺南市,一般級急救責任醫院,具備急診中度級能力,114/01/01-117/12/31,06-5911929,臺南市新化區那拔里牧場72號
38,1121010018,台灣基督長老教會新樓醫療財團法人台南新樓醫院,臺南市,中度級急救責任醫院,,114/01/01-117/12/31,06-2748316,臺南市東區東門路一段57號
39,1521031104,郭綜合醫院,臺南市,中度級急救責任醫院,,109/01/01-114/12/31,06-2221111,臺南市中西區民生路2段6.8.10.12.14.18.20.22.23.24.25.27.44號
40,1141090512,奇美醫療財團法人柳營奇美醫院,臺南市,中度級急救責任醫院,,113/01/01-116/12/31,06-6226999,臺南市柳營區太康里201號
41,142030019,衛生福利部旗山醫院,高雄市,中度級急救責任醫院,,108/01/01-114/12/31,07-6613811,高雄市旗山區中學路60號
42,502030015,國軍左營總醫院附設民眾診療服務處,高雄市,中度級急救責任醫院,,109/01/01-115/12/31,07-5817121,高雄市左營區軍校路553號
